
Virus Strain Name,Accession ID,Data Source,Related ID,Nuc.Completeness,Sequence Length,Sequence Quality,Quality Assessment,Host,Sample Collection Date,Location,Originating Lab,Submission Date,Submitting Lab
hCoV-19/China/Shanghai/SH0127,EPI_ISL_416408,GISAID,,Complete,29812,Low,427/0/NA/NA/NA,Homo sapiens,2020-02-12,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0128,EPI_ISL_416409,GISAID,,Complete,29836,High,9/0/0/6/NO,Homo sapiens,2020-02-02,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/Australia/VIC02/2020,EPI_ISL_416410,GISAID,,Complete,29865,Low,272/0/NA/NA/NA,Homo sapiens,2020-01-24,Australia / Victoria / Melbourne,Victorian Infectious Diseases Reference Laboratory (VIDRL),2020-03-20,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC03/2020,EPI_ISL_416411,GISAID,,Complete,29899,High,0/0/0/1/NO,Homo sapiens,2020-01-25,Australia / Victoria / Melbourne,Victorian Infectious Diseases Reference Laboratory (VIDRL),2020-03-20,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC04/2020,EPI_ISL_416412,GISAID,,Complete,29893,High,0/0/0/10/NO,Homo sapiens,2020-03-02,Australia / Victoria / Melbourne,Victorian Infectious Diseases Reference Laboratory (VIDRL),2020-03-20,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC05/2020,EPI_ISL_416413,GISAID,,Complete,29895,Low,53/0/NA/NA/NA,Homo sapiens,2020-03-05,Australia / Victoria / Melbourne,Victorian Infectious Diseases Reference Laboratory (VIDRL),2020-03-20,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC06/2020,EPI_ISL_416414,GISAID,,Complete,29865,Low,506/3/NA/NA/NA,Homo sapiens,2020-03-06,Australia / Victoria / Melbourne,Victorian Infectious Diseases Reference Laboratory (VIDRL),2020-03-20,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/Australia/VIC07/2020,EPI_ISL_416415,GISAID,,Complete,29865,High,0/0/0/5/NO,Homo sapiens,2020-02-08,Australia / Victoria / Melbourne,Victorian Infectious Diseases Reference Laboratory (VIDRL),2020-03-20,"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"
hCoV-19/China/Shanghai/SH0009,EPI_ISL_416322,GISAID,,Complete,29836,High,0/0/0/3/NO,Homo sapiens,2020-01-29,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0010,EPI_ISL_416323,GISAID,,Complete,29835,High,0/0/0/4/NO,Homo sapiens,2020-01-29,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0011,EPI_ISL_416324,GISAID,,Complete,29833,High,1/0/0/2/NO,Homo sapiens,2020-01-29,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0012,EPI_ISL_416325,GISAID,,Complete,29836,High,0/0/0/2/NO,Homo sapiens,2020-02-02,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0013,EPI_ISL_416326,GISAID,,Complete,29836,High,0/0/0/2/NO,Homo sapiens,2020-01-30,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0014,EPI_ISL_416327,GISAID,,Complete,29812,Low,393/0/NA/NA/NA,Homo sapiens,2020-01-28,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0017,EPI_ISL_416328,GISAID,,Complete,29812,Low,652/0/NA/NA/NA,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0020,EPI_ISL_416329,GISAID,,Complete,29812,Low,208/0/NA/NA/NA,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0021,EPI_ISL_416330,GISAID,,Complete,29832,High,0/0/0/4/NO,Homo sapiens,2020-02-02,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0022,EPI_ISL_416331,GISAID,,Partial,199,Low,7/158/NA/NA/NA,Homo sapiens,2020-01-30,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0023,EPI_ISL_416332,GISAID,,Complete,29836,High,0/0/0/6/NO,Homo sapiens,2020-01-30,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0024,EPI_ISL_416333,GISAID,,Complete,29835,High,1/0/0/2/NO,Homo sapiens,2020-01-30,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0025,EPI_ISL_416334,GISAID,,Complete,29812,High,2/0/0/5/NO,Homo sapiens,2020-02-06,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0026,EPI_ISL_416335,GISAID,,Complete,29836,High,0/0/0/6/NO,Homo sapiens,2020-02-02,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0027,EPI_ISL_416336,GISAID,,Complete,29833,High,0/0/0/3/NO,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0028,EPI_ISL_416337,GISAID,,Complete,29835,High,15/0/0/1/NO,Homo sapiens,2020-02-04,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0029,EPI_ISL_416338,GISAID,,Complete,29836,High,0/0/0/5/NO,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0030,EPI_ISL_416339,GISAID,,Complete,29836,High,0/0/0/5/NO,Homo sapiens,2020-02-03,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0031,EPI_ISL_416340,GISAID,,Complete,29836,High,3/0/0/2/NO,Homo sapiens,2020-02-02,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0032,EPI_ISL_416341,GISAID,,Complete,29835,High,0/0/0/5/NO,Homo sapiens,2020-02-01,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0033,EPI_ISL_416342,GISAID,,Complete,29812,High,1/0/0/4/NO,Homo sapiens,2020-02-04,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0034,EPI_ISL_416343,GISAID,,Complete,29835,Low,550/0/NA/NA/NA,Homo sapiens,2020-02-04,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0035,EPI_ISL_416344,GISAID,,Complete,29682,Low,657/0/NA/NA/NA,Homo sapiens,2020-01-30,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0036,EPI_ISL_416345,GISAID,,Complete,29812,Low,386/0/NA/NA/NA,Homo sapiens,2020-02-04,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
hCoV-19/China/Shanghai/SH0037,EPI_ISL_416346,GISAID,,Complete,29835,Low,1473/0/NA/NA/NA,Homo sapiens,2020-01-30,China / Shanghai,"Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University",2020-03-20,"National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center"
